,Title,Location,Price,description,Links
0,Bright and spacious room for rent,Markham / York Region,$760.00,"Features:- Room available soon. It is a bright natural light filled 17 x 16 sized room with closet. It is furnished with queen size bed, working desk, chair and night table. Full access to sitting ...",https://www.kijiji.ca/v-room-rental-roommate/markham-york-region/bright-and-spacious-room-for-rent/1528947374
1,WANTED: Vegetarian Male Roommate | Downtown  |  Nov 1 or Dec 1,City of Toronto,$830.00,"Check out my VIDEO TOUR : https://www.youtube.com/watch?v=SfvqlZDECSM Available November 1st, 2020. Move in ANYTIME in November or December 1st. HIGHLIGHTS *** Located downtown Toronto in a safe ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/wanted:-vegetarian-male-roommate-downtown-nov-1-or-dec-1/1529814046
2,Large room in 2 bed 2 bath Cityplace fort york/spadina toronto,City of Toronto,"$1,400.00","Hello , I am looking for a female roommate in my 2 bed/2bath condo. My condo is on the 21st floor and has a beautiful view of the lake and is very bright. Location: fort york and spadina, cityplace 5 ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/large-room-in-2-bed-2-bath-cityplace-fort-york-spadina-toronto/1532888102
3,"ROOM FOR RENT Nov or Dec 1st! (Corktown, TO)",City of Toronto,"$875.00$1,145.00",Hello future roomie! We are looking for a third to join us November 1st!! Price drop simply cause it's hard to find someone right now!! COULD OUR NEW ROOMIE BE YOU?! You'd be joining two females in ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-nov-or-dec-1st-corktown-to/1511631004
4,Bright and Newly Renovated Rental Rooms Furnished(top floor)$549,City of Toronto,$599.00,Bright and newly Renovated Rental Rooms (Ideal for single Female or Female Students) Spacious Rooms in a Newly Renovated Place. Available for November 1 For a Faster response and to get a call back ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/bright-and-newly-renovated-rental-rooms-furnished-top-floor-549/1514043642
5,Living area/separated by divider available in downtown from Nov,Fredericton,$470.00,5 mins walk from sherbourne and wellesley stations. All amneties and well furnished clean house. Its 2 bedroom apartment where two people are already in those rooms. This living area is vacant from ...,https://www.kijiji.ca/v-room-rental-roommate/fredericton/living-area-separated-by-divider-available-in-downtown-from-nov/1533342213
6,Master bedroom for Rent (Downtown Toronto),City of Toronto,"$1,200.00","Looking for a Room-mate for the Master-bedroom, Facing East (sun-rise), FURNISHED Myself: - Current Landlord and Full-Time Realtor, also Taurus (for who believes in Zodiac Signs) - Instagram: ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/master-bedroom-for-rent-downtown-toronto/1533342095
7,Room for rent female close to Donmills subway Fairview,City of Toronto,$490.00,Room for rent for female or student in a high rise apartment building. The apartment has total 3 bedroom and two full washrooms. Donmills room with private bathroom Location: Donmills or Don Mills ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-female-close-to-donmills-subway-fairview/1533341906
8,Furnished Room for Rent ASAP (Albion and Finch),City of Toronto,PleaseContact,"Fully Furnished Room Quiet, Neat and Clean available for Rent From ASAP. The Room Rent is at an affordable price and Utilities included with shared washroom and kitchen. TTC available at very close ...",https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/furnished-room-for-rent-asap-albion-and-finch/1533341709
9,Nov ❤ beautiful stock room in massive home FREE playground,City of Toronto,"$1,100.00",❤ beautiful stock bedroom on main bedroom in a 6-bedbedroom very massive home (2500 sq ft) point at 157 iroquois road - ALL comprehensive with FREE playground AT THE BACK OF THE HOUSE ★★yearLY or ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/nov-beautiful-stock-room-in-massive-home-free-playground/1533341644
10,Nov ❤ beautiful stock Room Bathurst/College weekly / Long Term,City of Toronto,$850.00,❤ beautiful stock bedroom on 3rd grade in a 4-bedbedroom condominium supra the blue Room cafeteria place at 416 university road - ALL INCLUSIVE ✔ from Nov $850 (LONG TERM) $900 (MONTH TO MONTH) ...,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/nov-beautiful-stock-room-bathurst-college-weekly-long-term/1533341639
